User_Id,Customer_Age,Trx_Vlu,Trx_Age,Trx_Rank,Points,Category In English,Mer_Id
21053,362,2014,362,1,20140,Fashion,0
26472,368,1120,371,1,11200,Fashion,0
26472,368,850,368,2,8500,Fashion,0
27075,34,198,558,1,1980,Fashion,0
27417,413,240,413,1,2400,Fashion,0
1447,34,1674,34,1,16740,F&B,1
2709,33,582,33,1,5820,F&B,1
3303,233,472.4,233,1,4724,F&B,1
7026,14,156.5,14,1,1565,F&B,1
10231,27,416.5,27,1,4165,F&B,1
10975,47,949.1,47,1,9491,F&B,1
13519,1,2,39,1,20,F&B,1
14734,37,350.7,37,1,3507,F&B,1
14823,5,758,5,1,7580,F&B,1
16503,55,595.2,55,1,5952,F&B,1
31199,102,200,102,1,2000,F&B,1
4594,419,140,419,1,1400,Other,2
7039,306,400,306,1,4000,Other,2
10038,257,120,503,1,1200,Other,2
10038,257,268,419,2,2680,Other,2
10840,13,235,13,1,2350,Other,2
21265,321,720,328,1,7200,Other,2
21265,321,1080,321,2,10800,Other,2
21702,355,170,355,1,1700,Other,2
24999,27,2,356,1,20,Other,2
26257,29,940,29,1,9400,Other,2
26333,41,235,41,1,2350,Other,2
26333,41,470,41,2,4700,Other,2
26437,334,800,334,1,8000,Other,2
26520,262,360,262,1,3600,Other,2
29328,268,200,454,1,2000,Other,2
33164,304,370,304,1,3700,Other,2
7,300,238.8,300,1,2388,Grocery,3
24,258,350,261,1,3500,Grocery,3
24,258,350,258,2,3500,Grocery,3
38,225,196.7,225,1,1967,Grocery,3
46,259,468.7,259,1,4687,Grocery,3
57,271,194.7,271,1,1947,Grocery,3
59,311,160,311,1,1600,Grocery,3
60,111,292,111,1,2920,Grocery,3
61,266,766.9,266,1,7669,Grocery,3
74,292,94,292,1,940,Grocery,3
76,237,439.9,237,1,4399,Grocery,3
77,287,258.9,287,1,2589,Grocery,3
86,243,32.9,270,1,329,Grocery,3
86,243,71,243,2,710,Grocery,3
95,6,442,254,1,4420,Grocery,3
97,111,558.2,111,1,5582,Grocery,3
100,168,175.6,168,1,1756,Grocery,3
110,269,153,269,1,1530,Grocery,3
112,63,150,305,1,1500,Grocery,3
116,276,171.7,276,1,1717,Grocery,3
124,234,175.8,234,1,1758,Grocery,3
125,201,711.3,201,1,7113,Grocery,3
133,261,164.1,261,1,1641,Grocery,3
137,91,377.6,91,1,3776,Grocery,3
143,233,196,233,1,1960,Grocery,3
145,79,638.4,302,1,6384,Grocery,3
145,79,638,79,2,6380,Grocery,3
154,300,132,300,1,1320,Grocery,3
155,279,170,279,1,1700,Grocery,3
156,73,198.5,73,1,1985,Grocery,3
161,251,540,251,1,5400,Grocery,3
171,292,212.6,292,1,2126,Grocery,3
175,296,83.3,296,1,833,Grocery,3
195,307,92.5,307,1,925,Grocery,3
211,260,2883,260,1,28830,Grocery,3
215,153,239.9,153,1,2399,Grocery,3
222,256,53,256,1,530,Grocery,3
224,224,192,224,1,1920,Grocery,3
231,250,364,250,1,3640,Grocery,3
232,136,222.8,136,1,2228,Grocery,3
243,51,160,51,1,1600,Grocery,3
246,244,207.8,244,1,2078,Grocery,3
249,77,139.2,77,1,1392,Grocery,3
273,156,154.2,156,1,1542,Grocery,3
276,285,184,285,1,1840,Grocery,3
277,188,229,188,1,2290,Grocery,3
285,245,494,245,1,4940,Grocery,3
288,264,210,264,1,2100,Grocery,3
302,309,500,309,1,5000,Grocery,3
306,164,274.5,164,1,2745,Grocery,3
309,297,104,297,1,1040,Grocery,3
310,57,153.7,57,1,1537,Grocery,3
326,260,122.5,260,1,1225,Grocery,3
327,265,168.3,265,1,1683,Grocery,3
330,236,170,236,1,1700,Grocery,3
340,126,163.6,126,1,1636,Grocery,3
354,60,1162,76,1,11620,Grocery,3
354,60,144,60,2,1440,Grocery,3
362,225,394,225,1,3940,Grocery,3
369,315,139.8,315,1,1398,Grocery,3
386,58,232,285,1,2320,Grocery,3
391,232,232,232,1,2320,Grocery,3
392,55,284.6,55,1,2846,Grocery,3
398,299,523.5,299,1,5235,Grocery,3
408,102,262,102,1,2620,Grocery,3
413,225,120,225,1,1200,Grocery,3
430,44,80,44,1,800,Grocery,3
431,281,146.3,281,1,1463,Grocery,3
435,272,314,272,1,3140,Grocery,3
442,144,118,144,1,1180,Grocery,3
449,101,186.4,101,1,1864,Grocery,3
456,145,106,145,1,1060,Grocery,3
457,303,216,303,1,2160,Grocery,3
464,233,500,233,1,5000,Grocery,3
483,127,1816.9,127,1,18169,Grocery,3
