customer_age,trx_vlu,trx_age,trx_rank,category_in_english,value_recency
362,2014.0,362,1,Fashion,5.548209366391185
368,1120.0,371,1,Fashion,3.010752688172043
368,850.0,368,2,Fashion,2.303523035230352
34,198.0,558,1,Fashion,0.3542039355992844
413,240.0,413,1,Fashion,0.5797101449275363
34,1674.0,34,1,F&B,47.82857142857143
33,582.0,33,1,F&B,17.11764705882353
233,472.4,233,1,F&B,2.0188034188034187
14,156.5,14,1,F&B,10.433333333333334
27,416.5,27,1,F&B,14.875
47,949.1,47,1,F&B,19.772916666666667
1,2.0,39,1,F&B,0.05
37,350.7,37,1,F&B,9.228947368421052
5,758.0,5,1,F&B,126.33333333333333
55,595.2,55,1,F&B,10.62857142857143
102,200.0,102,1,F&B,1.941747572815534
419,140.0,419,1,Other,0.3333333333333333
306,400.0,306,1,Other,1.3029315960912051
257,120.0,503,1,Other,0.23809523809523808
257,268.0,419,2,Other,0.638095238095238
13,235.0,13,1,Other,16.785714285714285
321,720.0,328,1,Other,2.188449848024316
321,1080.0,321,2,Other,3.3540372670807455
355,170.0,355,1,Other,0.47752808988764045
27,2.0,356,1,Other,0.0056022408963585435
29,940.0,29,1,Other,31.333333333333332
41,235.0,41,1,Other,5.595238095238095
41,470.0,41,2,Other,11.19047619047619
334,800.0,334,1,Other,2.388059701492537
262,360.0,262,1,Other,1.3688212927756653
268,200.0,454,1,Other,0.43956043956043955
304,370.0,304,1,Other,1.2131147540983607
300,238.8,300,1,Grocery,0.7933554817275748
258,350.0,261,1,Grocery,1.3358778625954197
258,350.0,258,2,Grocery,1.3513513513513513
225,196.7,225,1,Grocery,0.8703539823008849
259,468.7,259,1,Grocery,1.8026923076923076
271,194.7,271,1,Grocery,0.7158088235294118
311,160.0,311,1,Grocery,0.5128205128205128
111,292.0,111,1,Grocery,2.607142857142857
266,766.9,266,1,Grocery,2.8722846441947563
292,94.0,292,1,Grocery,0.32081911262798635
237,439.9,237,1,Grocery,1.8483193277310923
287,258.9,287,1,Grocery,0.8989583333333333
243,32.9,270,1,Grocery,0.12140221402214021
243,71.0,243,2,Grocery,0.29098360655737704
6,442.0,254,1,Grocery,1.7333333333333334
111,558.2,111,1,Grocery,4.983928571428572
168,175.6,168,1,Grocery,1.0390532544378699
